廣告系列名稱,成本,成本 (對照),點擊次數,點擊次數 (對照),互動次數,互動次數 (對照)
Green Tea - HK,"HK$1,106.63",HK$0.00,620,0,"3,572",0
Green Tea - JP,HK$320.68,HK$0.00,287,0,695,0
