廣告系列名稱,廣告系列群組名稱,廣告系列狀態,成本,點擊次數,點擊率
Green Tea - HK,,已啟用,"HK$1,106.63",620,1.88%
Green Tea - JP,,已啟用,HK$320.68,287,3.05%
